combo_index,card1_name,card2_name,reach_oop,reach_ip,card1_rank,card2_rank,is_pair,is_suited,rank_gap,suit_with_board_c1,suit_with_board_c2,pairs_with_board,overcards,flush_potential,hand_strength,is_blocked,board_rank1,board_rank2,board_rank3,board_rank4,board_suit1,board_suit2,board_suit3,board_suit4,suit_count_club,suit_count_diamond,suit_count_heart,suit_count_spade,board_paired,board_trips,monotone,high_card,connectivity,pot,stack,spr,cfv_oop,cfv_ip
0,2c,2d,0.3279,0.205,0.0,0.0,1,0,0.0,0.25,0.25,0,0.0,0.4,0.2,0,1.0,0.9167,0.4167,0.0833,0.6667,0.3333,1.0,0.0,0.25,0.25,0.25,0.25,0,0,0,1.0,0.3333,0.5,0.75,1.5,-0.0328,-0.0154
1,2c,2h,0.255,0.2446,0.0,0.0,1,0,0.0,0.25,0.25,0,0.0,0.4,0.2,0,1.0,0.9167,0.4167,0.0833,0.6667,0.3333,1.0,0.0,0.25,0.25,0.25,0.25,0,0,0,1.0,0.3333,0.5,0.75,1.5,-0.0255,-0.0183
2,2c,2s,0.3473,0.3353,0.0,0.0,1,0,0.0,0.25,0.25,0,0.0,0.4,0.2,0,1.0,0.9167,0.4167,0.0833,0.6667,0.3333,1.0,0.0,0.25,0.25,0.25,0.25,0,0,0,1.0,0.3333,0.5,0.75,1.5,-0.0347,-0.0252
3,2c,3c,0.0,0.0,0.0,0.0833,0,1,0.0833,0.25,0.25,1,0.0,0.6,0.0,1,1.0,0.9167,0.4167,0.0833,0.6667,0.3333,1.0,0.0,0.25,0.25,0.25,0.25,0,0,0,1.0,0.3333,0.5,0.75,1.5,0.0,0.0
4,2c,3d,0.1201,0.0,0.0,0.0833,0,0,0.0833,0.25,0.25,1,0.0,0.4,0.1792,0,1.0,0.9167,0.4167,0.0833,0.6667,0.3333,1.0,0.0,0.25,0.25,0.25,0.25,0,0,0,1.0,0.3333,0.5,0.75,1.5,-0.0133,-0.0
5,2c,3h,0.0261,0.0,0.0,0.0833,0,0,0.0833,0.25,0.25,1,0.0,0.4,0.1792,0,1.0,0.9167,0.4167,0.0833,0.6667,0.3333,1.0,0.0,0.25,0.25,0.25,0.25,0,0,0,1.0,0.3333,0.5,0.75,1.5,-0.0029,-0.0
6,2c,3s,0.0,0.0427,0.0,0.0833,0,0,0.0833,0.25,0.25,1,0.0,0.4,0.1792,0,1.0,0.9167,0.4167,0.0833,0.6667,0.3333,1.0,0.0,0.25,0.25,0.25,0.25,0,0,0,1.0,0.3333,0.5,0.75,1.5,0.0,0.0
7,2c,4c,0.0,0.0231,0.0,0.1667,0,1,0.1667,0.25,0.25,0,0.0,0.6,0.025,0,1.0,0.9167,0.4167,0.0833,0.6667,0.3333,1.0,0.0,0.25,0.25,0.25,0.25,0,0,0,1.0,0.3333,0.5,0.75,1.5,0.0,0.0
8,2c,4d,0.1133,0.0923,0.0,0.1667,0,0,0.1667,0.25,0.25,0,0.0,0.4,0.025,0,1.0,0.9167,0.4167,0.0833,0.6667,0.3333,1.0,0.0,0.25,0.25,0.25,0.25,0,0,0,1.0,0.3333,0.5,0.75,1.5,-0.0212,-0.015
9,2c,4h,0.0274,0.1012,0.0,0.1667,0,0,0.1667,0.25,0.25,0,0.0,0.4,0.025,0,1.0,0.9167,0.4167,0.0833,0.6667,0.3333,1.0,0.0,0.25,0.25,0.25,0.25,0,0,0,1.0,0.3333,0.5,0.75,1.5,-0.0051,-0.0164
