epoch,train_loss,test_loss
1,0.10198234,0.10613227
2,0.10028198,0.10856905
3,0.09801159,0.10891902
4,0.09733929,0.10810305
5,0.09500322,0.10716905
6,0.09152173,0.10910731
7,0.08484130,0.10677322
8,0.08122756,0.10613355
9,0.08005768,0.10729645
10,0.07824979,0.10898881
11,0.07865736,0.10896045
12,0.07705840,0.11386301
13,0.07410158,0.11090153
14,0.06970791,0.11044670
15,0.06383641,0.11157399
16,0.05941685,0.11664913
17,0.05631084,0.11421252
18,0.06012320,0.12711431
19,0.05846374,0.11866373
20,0.04741935,0.12514564
21,0.04637645,0.13401380
22,0.04204756,0.14586077
23,0.03889276,0.14016081
24,0.03265709,0.14595705
25,0.02847302,0.14380549
26,0.03163833,0.13320912
27,0.03258127,0.16156513
28,0.02894525,0.13618387
29,0.02085955,0.12184662
30,0.01934766,0.14041517
31,0.01922530,0.13128139
32,0.01621345,0.13760862
33,0.01311895,0.14010325
34,0.01017290,0.13646208
35,0.00944211,0.13697673
36,0.00939992,0.14282810
37,0.00706139,0.13647529
38,0.00870068,0.13843549
39,0.00937094,0.14344542
40,0.01834795,0.15980645
41,0.03145412,0.13007070
42,0.01931369,0.12987574
43,0.01396983,0.14053945
44,0.00943026,0.13834982
45,0.00609200,0.12828505
46,0.00479889,0.13141498
47,0.00466939,0.13012222
48,0.00404404,0.12952350
49,0.00358389,0.13412470
50,0.00464063,0.12623777
51,0.01024904,0.13733696
52,0.04142257,0.12698584
53,0.05771997,0.12825304
54,0.04542862,0.12897476
55,0.03088655,0.12000364
56,0.02388066,0.14218823
57,0.02155895,0.13110468
58,0.01683997,0.12539071
59,0.01152660,0.12791258
60,0.00821665,0.12309058
61,0.00558328,0.12945231
62,0.00373001,0.12619373
63,0.00317106,0.12666583
64,0.00272848,0.12502833
65,0.00210521,0.12649130
66,0.00172852,0.12434035
67,0.00169061,0.12517856
68,0.00159046,0.12492436
69,0.00133759,0.12449419
70,0.00158697,0.12501031
71,0.00248775,0.13229457
72,0.00216364,0.12889664
73,0.00155428,0.13041595
74,0.00121807,0.12578491
75,0.00117194,0.12838467
76,0.00112757,0.12902244
77,0.00113607,0.12714759
78,0.00106406,0.12535441
79,0.00098966,0.12442422
80,0.00104762,0.12379772
81,0.00106716,0.12459639
82,0.00116155,0.12169837
83,0.00119983,0.12203638
84,0.00148477,0.12479339
85,0.00134272,0.12152409
86,0.00143054,0.12350062
87,0.00556300,0.12619626
88,0.02281974,0.13192650
89,0.03334237,0.13123913
90,0.02330019,0.14092329
91,0.01694629,0.13330835
92,0.01560658,0.13853746
93,0.00988151,0.13925372
94,0.00822505,0.13308387
95,0.00798490,0.13126567
96,0.00643628,0.13384899
97,0.00430083,0.14636975
98,0.00362438,0.13008722
99,0.00274560,0.13094257
100,0.00211076,0.13821093
101,0.00134577,0.13193636
102,0.00113358,0.13435263
103,0.00107376,0.13465125
104,0.00098400,0.13094780
105,0.00086638,0.13421590
106,0.00079703,0.13421267
107,0.00078860,0.13660491
108,0.00074537,0.13529259
109,0.00082739,0.13811791
110,0.00075015,0.13621017
111,0.00067886,0.14006285
112,0.00068943,0.13529802
113,0.00054706,0.13799062
114,0.00054604,0.14026693
115,0.00077025,0.13652975
116,0.00069089,0.13880575
117,0.00053716,0.13925551
118,0.00059491,0.13842961
119,0.00064042,0.13906429
120,0.00088679,0.13850939
121,0.00071399,0.13812153
122,0.00139228,0.13853716
123,0.00074515,0.13775906
124,0.00062351,0.13856528
125,0.00081169,0.13939363
126,0.00142042,0.13548270
127,0.00205200,0.13538275
128,0.00280190,0.14880202
129,0.00778004,0.13016043
130,0.01284100,0.13770691
131,0.01379303,0.11939309
132,0.00938428,0.13202074
133,0.00581026,0.13580375
134,0.00264180,0.14099631
135,0.00158025,0.14099391
136,0.00099629,0.13498831
137,0.00105786,0.13443878
138,0.00106162,0.14027341
139,0.00067369,0.14521236
140,0.00043025,0.14390607
141,0.00027998,0.14149990
142,0.00026813,0.14104722
143,0.00040466,0.14169409
144,0.00043132,0.14272084
145,0.00036383,0.14548292
146,0.00034985,0.14331956
147,0.00027202,0.14457265
148,0.00019754,0.14302075
149,0.00015742,0.14251099
150,0.00016777,0.14337016
151,0.00013597,0.14216683
152,0.00012617,0.14261341
153,0.00014441,0.14162419
154,0.00017145,0.14109386
155,0.00016920,0.14030682
156,0.00013851,0.14010757
157,0.00016120,0.14023758
158,0.00015122,0.14027114
159,0.00028069,0.13988351
160,0.00064380,0.13757588
161,0.00055399,0.13595252
162,0.00043287,0.13979498
163,0.00058251,0.13855066
164,0.00100999,0.14072583
165,0.00082036,0.13817552
166,0.00062213,0.13942597
167,0.00057509,0.13911993
168,0.00081024,0.13949685
169,0.00113018,0.13903870
170,0.00081677,0.14489638
171,0.00394099,0.13516587
172,0.00251180,0.13914290
173,0.00328971,0.12869113
174,0.00202243,0.13277831
175,0.00191931,0.13604061
176,0.00205543,0.12718367
177,0.00183756,0.13067355
178,0.00168864,0.13223366
179,0.00137264,0.12993818
180,0.00149762,0.13761782
181,0.00329476,0.12308619
182,0.00387713,0.13091847
183,0.01126207,0.14906833
184,0.01961039,0.13080185
185,0.02383370,0.13925195
186,0.01303832,0.14072481
187,0.01024584,0.13126119
188,0.00775899,0.13459023
189,0.00704488,0.13289678
190,0.00610472,0.13227019
191,0.00442389,0.13515397
192,0.00442224,0.13958216
193,0.00377997,0.14059089
194,0.00336662,0.13252581
195,0.00169836,0.13462729
196,0.00088216,0.13769804
197,0.00080551,0.13313404
198,0.00085736,0.13702629
199,0.00042622,0.13902025
200,0.00027053,0.13995144
201,0.00029205,0.13920952
202,0.00021293,0.14011842
203,0.00014719,0.14038728
204,0.00012924,0.13746282
205,0.00012088,0.13798947
206,0.00011001,0.13879946
207,0.00010630,0.13898889
208,0.00010406,0.13717204
209,0.00013659,0.13799681
210,0.00012486,0.13849676
211,0.00011902,0.13593138
212,0.00014816,0.13632781
213,0.00012348,0.13599170
214,0.00012155,0.13574088
215,0.00013662,0.13604965
216,0.00086842,0.13613431
217,0.00069999,0.13232833
218,0.00038648,0.13221498
219,0.00024138,0.13353501
220,0.00017666,0.13387424
221,0.00016021,0.13428582
222,0.00014147,0.13335992
223,0.00034135,0.13359877
224,0.00035182,0.13449948
225,0.00020324,0.13388934
226,0.00017718,0.13498955
227,0.00023365,0.13406312
228,0.00048526,0.13405588
229,0.00046725,0.13456544
230,0.00035308,0.13442699
231,0.00043031,0.13742491
232,0.00056304,0.13630816
233,0.00057450,0.13357052
234,0.00088223,0.13774141
235,0.00071799,0.13692744
236,0.00242231,0.13257628
237,0.00375447,0.13446139
238,0.00300834,0.13739128
239,0.00274085,0.14996662
240,0.00713339,0.13822033
241,0.00732244,0.13678982
242,0.00996171,0.15172774
243,0.01119507,0.15707756
244,0.00721389,0.13388831
245,0.00316623,0.13708977
246,0.00220643,0.13873733
247,0.00171556,0.14168178
248,0.00146333,0.12939650
249,0.00131859,0.12858374
250,0.00121825,0.12969972
251,0.00118848,0.12843838
252,0.00117522,0.12670609
253,0.00107725,0.12984824
254,0.00101970,0.13048735
255,0.00098946,0.13129848
256,0.00088546,0.13147377
257,0.00034855,0.13165809
258,0.00019474,0.13137641
259,0.00014458,0.13121518
260,0.00047272,0.13080027
261,0.00037568,0.13027327
262,0.00028776,0.13088808
263,0.00021086,0.13249968
264,0.00013821,0.13145242
265,0.00012170,0.13190868
266,0.00018183,0.13015834
267,0.00028900,0.13085977
268,0.00056507,0.13290804
269,0.00035717,0.13278276
270,0.00037654,0.13392546
271,0.00041284,0.13156251
272,0.00037661,0.13628710
273,0.00078751,0.13368189
274,0.00057829,0.13158762
275,0.00047282,0.13224171
276,0.00034850,0.13478927
277,0.00018027,0.13545866
278,0.00013102,0.13478511
279,0.00012447,0.13470085
280,0.00018702,0.13412497
281,0.00015652,0.13444814
282,0.00015382,0.13314487
283,0.00025206,0.13379149
284,0.00027590,0.13489990
285,0.00020094,0.13291867
286,0.00041573,0.13260538
287,0.00023238,0.13246376
288,0.00035016,0.13288611
289,0.00031087,0.13277118
290,0.00107189,0.13147119
291,0.00041848,0.13534614
292,0.00057579,0.13146525
293,0.00033501,0.12851120
294,0.00069344,0.13035669
295,0.00045030,0.13018530
296,0.00033871,0.12993570
297,0.00032296,0.12965415
298,0.00048908,0.13208520
299,0.00058908,0.13146438
300,0.00072515,0.13167323
301,0.00090558,0.12935281
302,0.00044549,0.13234581
303,0.00061829,0.13272710
304,0.00033598,0.13191238
305,0.00015557,0.12981951
306,0.00017074,0.13219501
307,0.00029536,0.13031303
308,0.00075932,0.13481197
309,0.00071548,0.13082623
310,0.00081783,0.13619789
311,0.00080952,0.14036728
312,0.00059706,0.13310355
313,0.00090180,0.13390473
314,0.00215771,0.14028015
315,0.00345884,0.13196367
316,0.01271097,0.13036839
317,0.01094046,0.12771359
318,0.00661457,0.12938641
319,0.00410016,0.12531239
320,0.00240896,0.11967724
321,0.00165660,0.12046473
322,0.00109272,0.12493314
323,0.00192721,0.12136617
324,0.00373411,0.12826832
325,0.00152998,0.12795675
326,0.00098706,0.12716205
327,0.00039930,0.12852844
328,0.00017103,0.12742425
329,0.00013407,0.12762457
330,0.00027747,0.12745747
331,0.00030222,0.12927313
332,0.00026539,0.12568512
333,0.00014453,0.12665150
334,0.00014396,0.12615518
335,0.00009099,0.12642828
336,0.00007286,0.12651570
337,0.00006906,0.12689134
338,0.00009592,0.12618625
339,0.00004548,0.12661858
340,0.00002859,0.12634953
341,0.00002553,0.12663564
342,0.00002281,0.12630440
343,0.00002791,0.12648901
344,0.00002892,0.12628880
345,0.00006841,0.12661042
346,0.00005652,0.12655322
347,0.00007587,0.12624134
348,0.00010777,0.12617420
349,0.00010322,0.12593173
350,0.00022233,0.12611665
351,0.00042751,0.12437891
352,0.00053759,0.12421881
353,0.00051970,0.12448048
354,0.00047055,0.12463611
355,0.00044622,0.12875990
356,0.00045752,0.12627353
357,0.00034538,0.13027644
358,0.00033323,0.13081872
359,0.00035734,0.13154684
360,0.00033341,0.13095723
361,0.00052907,0.13071675
362,0.00030100,0.13338483
363,0.00020637,0.13013791
364,0.00013240,0.13074105
365,0.00011384,0.13006038
366,0.00011772,0.13114609
367,0.00008384,0.13074038
368,0.00009411,0.13017263
369,0.00012696,0.13076414
370,0.00016807,0.12975914
371,0.00027959,0.12961030
372,0.00037841,0.13069932
373,0.00035261,0.13172011
374,0.00022188,0.13179171
375,0.00015212,0.13171111
376,0.00013587,0.13148417
